title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"Attacked!","Anabel Bright","","","1.0","Courtney still holds onto the picture of Jordan Gillis and someone else. She realizes that it’s herself, sitting with Jordan, and it’s time to talk to Jordan’s parents. After all these years, why would Jordan still have the picture of the two of them on her keyring? How could the police not see it, or had it been placed there?  Courtney tells Officer Roberts that a childhood friend she had played with was taken. Courtney knows the father and daughter duo behind bars has some answers. She needs to talk to Becky, even if Becky refuses to see her this time.  A second girl, Jessica Rice, has been taken from the park late at night. Courtney remembers her as her childhood friend whom she played with. Becky knows Jessica more than Courtney does. Before Courtney leaves, she notices that Becky looks slightly scared, and it’s not because she’s in jail.  Why is Becky suddenly so afraid? How will Courtney find the answers?","goodreads:58896570,amazon:B097JX2C4Z,mobi-asin:B097JX2C4Z","eng","","Attacked!","","Misterio·Thriller·Terror [REVISAR]"
"Truth or Lies?","Anabel Bright","","","1.0","When Courtney wakes up, she’s not in her house, but she’s in a moving car. Someone has her, and she’s not sure who. She had told Officer Roberts that she knew something was the matter, and now she’s the one being taken, again!  Courtney tries not to think about where she might be headed or who is driving. There’s nothing she can do but wait and see where the car stops. Her ordeal, however, doesn’t stop her from wondering if Katherine can hear her cries. Courtney wishes that Katherine will show up to save her.  Courtney is determined that she’s going to get out of this alive. She calms down, realizing that the car has stopped. It was knowing that wherever he has taken her, they are finally there, and it’s time to face the new nightmare that’s going to unfold before her.  Who has taken Courtney? What has Courtney found out? Will Katherine save her?","goodreads:59050188,amazon:B097N8N82G,mobi-asin:B097N8N82G","eng","","Truth Or Lies?","","Fantasía [REVISAR]"
"Courtney's Injuries","Anabel Bright","","Taken Crime Thriller 3","1.0","Taken Crime Thriller Series 3 is another exciting, suspenseful, psychological thriller series after Series 2 in psychological crime thrillers.  Courtney goes to the hospital for her wounds. She has to stay overnight and realizes that the worst has happened.  Courtney is going to find out when she gets better who Becky is and who Tom is. She doesn’t know either one of them. Courtney doesn’t want to talk about Officer Bryant.  On the last night of Courtney’s hospital stay, she gets a phone call. There’s nothing but static on the other end of the line, and she tries to get a hold of Officer Roberts. No one seems to know where he is, and the Captain says he is still on personal leave.  Someone knows Courtney is there, giving out a warning that she’s not going to be able to continue her life. She needs to get her head in the game again, and Courtney’s not sure that she will survive this time. Courtney knows she’s strong enough to take it on, maybe even find the caller before they can strike again. She’s not going to wait for that other shoe to drop.  “That phone call was a warning,” Courtney whispers to herself as she continues to stare out the window. Whoever has called her knows that she’s there.  Who is calling Courtney? Is this another life-threatening situation?    * WATCH Trailer: https://youtu.be/CQ61t0-pAZ0   ** Please LIKE, SHARE & SUBSCRIBE from above link in Anabel Bright Trailer @Youtube","ff:b/anabel-bright/courtneys-injuries,mobi-asin:B09BNZJKX9","eng","","Courtney's Injuries","","Misterio·Thriller·Terror [REVISAR]"
"A Visit","Anabel Bright","","Taken Crime Thriller Series 3","2.0","Courtney sees a picture of Jordan when her mother shows her the photo albums she had put together when the girls were seven years old. Courtney doesn’t know who has taken Jordan Gillis, but she has a feeling she knows who does and decides to go back to the jail. Courtney knows that she needs to get to the bottom of it, even if it means that she must keep hounding Becky and Tom. Courtney’s not sure if she can trust them; the only ones she can go to for help are the ones that are murderers. The information that she needs has to come out of their mouths, but now she’s not sure if she can believe anything they say…  Who can Courtney trust now? How can Courtney find Jordan?  *WATCH Book Trailer: https://youtu.be/CQ61t0-pAZ0 *SUBSCRIBE Anabel Bright Trailer @ Youtube (Please LIKE, SHARE & SUBSCRIBE). Thanks!","mobi-asin:B097NRT5YB,goodreads:58806077,amazon:B097NRT5YB","eng","","A Visit","","Fantasía [REVISAR]"
"Ambushed in Paradise","Deborah Brown","","Paradise","12.0","The Keys is a great place to hide a seashell bucket full of secrets. Creole…shot…dead. Three words Madison Westin never thought she’d hear in the same sentence. Creole promised. He pinky swore on it. But even through a blur of tears fed by prescription-strength margaritas, Madison can tell when things are shady. Sure, Creole was undercover, but she deserves more than sketchy non-answers, an urn of ashes, and a secret life crawling out of the woodwork. Nothing’s adding up, nothing that remotely sounds like the Creole she knew and loved. Calling in every one of her IOU’s—only to find some of her most reliable information sources drying up—Madison sets out to dig up what really happened to Creole. She never thought the truth would wrap its arms around her and make her wonder if she’s chasing a ghost… or taking a vacation from sanity. Ambushed in Paradise is book #12 in the action-packed Paradise series. Come along with Madison and Fab as they dig up the truth and share more than one hair raising adventure.","amazon:B07643YNJ1,goodreads:36361970,mobi-asin:B07643YNJ1,grvotes:1621","eng","","Ambushed in Paradise (Florida Keys Mystery Series Book 12)","","Misterio·Thriller·Terror [REVISAR]"
"Initiation in Paradise (Paradise Series Book 17)","Deborah Brown","","","1.0","","mobi-asin:B07PM9FPLP","eng","","Initiation in Paradise (Paradise Series Book 17)","",""
"Jealous in Paradise (Florida Keys Mystery Series Book 18)","Deborah Brown","","","1.0","","mobi-asin:B07SVSVYCG","eng","","Jealous in Paradise (Florida Keys Mystery Series Book 18)","",""
"Stealing Hadley","Deborah Brown","","","1.0","When Hadley’s got trouble, this big bad Wolf has her back.
Life came to a screeching halt when I returned from a rare business trip to find the house sold and my kids and their grandmother missing.
My stable life quickly descended into two frantic weeks of searching for the trio. I hired a private detective and was ultimately reunited with my children at WD Consulting. But then the wild ride began.
Barely taking a breath, accusations of real estate fraud thrust me into an intricate web of lies, leaving my reputation tarnished and my freedom in peril. Clearing my name meant navigating challenges with stakes higher than ever imagined. And when danger strikes, I discover how far WD will go to take care of family.
","mobi-asin:B0CKY28FT6","eng","","Stealing Hadley","","Misterio·Thriller·Terror [REVISAR]"
"Backwoods Banshee","Amy Boyles","","","1.0","","mobi-asin:B07Q18733T","eng","","Backwoods Banshee","",""
"Captured","Eve Bale","","Mate Rejected","3.0","** *We defeated fate. Mack chose me. But instead of celebrating, I’m grieving his loss…* **  Nothing could’ve prepared me for this new nightmare.  All my life I’ve wanted answers about the mother I never knew. A woman my father hid everything about from me. Now I’m about to get what I wanted, but it’s cost me Mack.  It’s going to take every bit of strength I possess to overcome this new enemy that threatens everyone I love. I’ve lost so much already—too much. Shame the only thing I have to break me free from this hell is a power I can’t control.  ** *Can I discover the strength to be the omega I’d always hoped to be? Or will defeat cost me everything I hold dear?* **  Due to mature themes, violence, and steamy scenes this book is recommended for 18+.","goodreads:62810968,amazon:B09NQBKFYW,grvotes:1232,mobi-asin:B09NQBKFYW","eng","","Captured: A Rejected Mates Romance (Mate Rejected Book 3)","","Romance contemporáneo [REVISAR]"
"Circle of Shadows","M. L. Bullock","","","1.0","In the quaint and enigmatic hamlet of Crestwood, lives the tenacious and empathetic Dr. Emily Thompson, a mastermind psychiatrist celebrated for her tireless dedication to the mental sanctity of her patients. Responding to the silent cries for help echoing from her clientele, she embarks on a daring a haven for those touched by the spectral hand of the supernatural, a support group for individuals enduring the inexplicable.  And so, the Supernatural Support Group springs into existence, providing a beacon of understanding in a world that shuns the extraordinary. Here, the paranormal sufferers find not only a platform to voice their unique trials and tribulations but also the warmth of companionship that is often denied to those touched by the supernatural. The radiant Dr. Thompson, disregarding the cynicism of her peers, promotes the group's message of acceptance through the digital universe and anchors it in the heart of Crestwood's community center.  News of this peculiar gathering travels swiftly, drawing an array of extraordinary individuals like moths to a flame. A seer with an artist's soul, a book-loving telekinetic, a conduit to the spirits beyond, a healer burdened by her energetic gift, and Alex, a firestarter with a heart cloaked in darkness, all find solace within the Supernatural Support Group.  Bound by their uncanny experiences, this fellowship of the supernatural fosters a kinship that spans beyond their shared oddities. They support each other through personal tribulations, aiding in the blossoming of their supernatural gifts, and uncovering the truth that their abilities might serve a higher purpose.  However, nestled within their circle of trust, an insidious force lurks. Alex, the brooding firestarter, harbors malevolent intentions. Using the support group as his puppet theater, he plots to cast Crestwood into an inferno of chaos, serving his self-serving desires regardless of the cost.  The revelation of Alex's sinister plot sends shockwaves through the group. They must rally their strength and collective power to save their confidant from his self-destructive path and preserve the tranquility of Crestwood and their sanctuary. Yet, Alex is a formidable adversary, and he won't be defeated without a cataclysmic clash of supernatural forces.  In the midst of this inner turmoil, the group must also withstand the judgment and fear radiating from the skeptical world beyond their sanctuary. Walking a razor's edge, they must protect their haven of acceptance while battling the stigma attached to their extraordinary existence.  The Supernatural Support Circle of Shadows takes readers on an electrifying ride through the labyrinth of supernatural suspense, threaded with enduring friendships and personal metamorphosis. Embracing the thrilling tropes of paranormal fiction, it delivers a narrative gut-punch that will keep readers teetering on a cliffhanger. Through Dr. Emily Thompson and her exceptional ensemble's odyssey, we learn that it's not our capabilities that shape us, but our actions and the bonds we form amidst adversity.  Circle of Shadows is Book One in the Supernatural Support Group series by M. L. Bullock.","mobi-asin:B0C6HF2WYV,amazon:B0C6HF2WYV,goodreads:165929446","eng","","Circle of Shadows","","Fantasía [REVISAR]"
